,airport_id,icao,type,name,latitude,longitude,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata,local_code,home_link,wikipedia_link,keywords,municipality_country
0,2184,EDAC,medium_airport,Altenburg-Nobitz Airport,50.981945,12.506389,640.0,EU,DE,DE-TH,Altenburg,no,EDAC,AOC,-,http://www.leipzig-altenburg-airport.de/,https://en.wikipedia.org/wiki/Altenburg-Nobitz_Airport,Altenburg Nobitz,"Altenburg,DE"
1,2187,EDAH,medium_airport,Heringsdorf Airport,53.8787002563,14.152299881,93.0,EU,DE,DE-MV,Heringsdorf,yes,EDAH,HDF,-,-,https://en.wikipedia.org/wiki/Heringsdorf_Airport,-,"Heringsdorf,DE"
2,2199,EDBM,medium_airport,"Magdeburg ""City"" Airport",52.073612,11.626389,259.0,EU,DE,DE-ST,Magdeburg,no,EDBM,ZMG,-,http://www.edbm.de,https://en.wikipedia.org/wiki/Magdeburg%E2%80%93Cochstedt_Airport,-,"Magdeburg,DE"
3,2743,EDBN,medium_airport,Neubrandenburg Airport,53.6022,13.306,228.0,EU,DE,DE-MV,Neubrandenburg,no,EDBN,FNB,-,http://www.flughafen-neubrandenburg.de/,https://en.wikipedia.org/wiki/Neubrandenburg_Airport,-,"Neubrandenburg,DE"
4,301881,EDDB,large_airport,Berlin Brandenburg Airport,52.351389,13.493889,157.0,EU,DE,DE-BR,Berlin,yes,EDDB,BER,-,https://ber.berlin-airport.de/,https://en.wikipedia.org/wiki/Berlin_Brandenburg_Airport,-,"Berlin,DE"
5,2210,EDDC,large_airport,Dresden Airport,51.1328010559082,13.767200469970703,755.0,EU,DE,DE-SN,Dresden,yes,EDDC,DRS,-,http://www.dresden-airport.de/en/index.html,https://en.wikipedia.org/wiki/Dresden_Airport,-,"Dresden,DE"
6,2211,EDDE,medium_airport,Erfurt Airport,50.97980117797852,10.958100318908691,1036.0,EU,DE,DE-TH,Erfurt,yes,EDDE,ERF,-,http://www.airport-erfurt.de/,https://en.wikipedia.org/wiki/Erfurt_Airport,Flughafen Erfurt,"Erfurt,DE"
7,2212,EDDF,large_airport,Frankfurt am Main Airport,50.033333,8.570556,364.0,EU,DE,DE-HE,Frankfurt am Main,yes,EDDF,FRA,-,http://www.frankfurt-airport.de/,https://en.wikipedia.org/wiki/Frankfurt_Airport,"EDAF, Rhein-Main Air Base","Frankfurt am Main,DE"
8,2213,EDDG,large_airport,Münster Osnabrück Airport,52.134601593,7.68483018875,160.0,EU,DE,DE-NW,Münster,yes,EDDG,FMO,-,-,https://en.wikipedia.org/wiki/M%C3%BCnster_Osnabr%C3%BCck_International_Airport,-,"Münster,DE"
9,2214,EDDH,large_airport,Hamburg Helmut Schmidt Airport,53.630402,9.98823,53.0,EU,DE,DE-HH,Hamburg,yes,EDDH,HAM,-,https://www.hamburg-airport.de/en/,https://en.wikipedia.org/wiki/Hamburg_Airport,Hamburg-Fuhlsbüttel Airport,"Hamburg,DE"
10,2216,EDDK,large_airport,Cologne Bonn Airport,50.8658981323,7.1427397728,302.0,EU,DE,DE-NW,Cologne,yes,EDDK,CGN,-,http://www.koeln-bonn-airport.de/en/,https://en.wikipedia.org/wiki/Cologne_Bonn_Airport,Köln,"Cologne,DE"
11,2217,EDDL,large_airport,Düsseldorf Airport,51.289501,6.76678,147.0,EU,DE,DE-NW,Düsseldorf,yes,EDDL,DUS,-,http://www.dus.com/dus_en/,https://en.wikipedia.org/wiki/D%C3%BCsseldorf_Airport,-,"Düsseldorf,DE"
12,2218,EDDM,large_airport,Munich Airport,48.353802,11.7861,1487.0,EU,DE,DE-BY,Munich,yes,EDDM,MUC,-,http://www.munich-airport.com/,https://en.wikipedia.org/wiki/Munich_Airport,"Franz Josef Strauss Airport, Flughafen München Franz Josef Strauß","Munich,DE"
13,2219,EDDN,large_airport,Nuremberg Airport,49.498699,11.078056,1046.0,EU,DE,DE-BY,Nuremberg,yes,EDDN,NUE,-,https://www.airport-nuernberg.de/english,https://en.wikipedia.org/wiki/Nuremberg_Airport,Nürnberg,"Nuremberg,DE"
14,2220,EDDP,large_airport,Leipzig/Halle Airport,51.423889,12.236389,465.0,EU,DE,DE-SN,Leipzig,yes,EDDP,LEJ,-,http://www.leipzig-halle-airport.de/en/index.html,https://en.wikipedia.org/wiki/Leipzig/Halle_Airport,Schkeuditz Airport,"Leipzig,DE"
15,2221,EDDR,medium_airport,Saarbrücken Airport,49.2145996094,7.10950994492,1058.0,EU,DE,DE-SL,Saarbrücken,yes,EDDR,SCN,-,http://www.flughafen-saarbruecken.de/,https://en.wikipedia.org/wiki/Saarbr%C3%BCcken_Airport,-,"Saarbrücken,DE"
