city_name,country_code,w_main,w_description,w_icon,w_temp,w_feels_like,w_temp_min,w_temp_max,w_pressure,humidity,wind_speed,wind_deg,clouds,dt,sunrise,sunset,timezone,w_name
Berlin,DE,Clear,clear sky,01n,280.13,277.21,278.2,281.51,993.0,54.0,4.47,80.0,0.0,1648662168.0,1648615550.0,1648661752.0,7200.0,Tiergarten
Hamburg,DE,Clouds,overcast clouds,04d,278.68,276.23,277.2,279.83,1004.0,75.0,3.09,40.0,100.0,1648661945.0,1648616307.0,1648662618.0,7200.0,Hamburg
Munich,DE,Clouds,overcast clouds,04n,282.59,282.59,281.67,283.14,1000.0,85.0,0.75,308.0,100.0,1648662169.0,1648616182.0,1648661988.0,7200.0,Altstadt
Cologne,DE,Clear,clear sky,01d,284.38,282.89,283.01,285.33,1000.0,51.0,4.63,30.0,0.0,1648662169.0,1648617166.0,1648663220.0,7200.0,Altstadt Nord
Frankfurt,DE,Clouds,few clouds,02d,282.9,280.79,282.16,284.16,1000.0,64.0,4.12,60.0,20.0,1648662411.0,1648616791.0,1648662768.0,7200.0,Frankfurt am Main
Dusseldorf,DE,Clouds,few clouds,02d,283.88,282.6,281.19,285.0,1001.0,61.0,4.12,30.0,20.0,1648662624.0,1648617196.0,1648663278.0,7200.0,Düsseldorf
Stuttgart,DE,Clouds,broken clouds,04n,281.56,278.91,280.72,282.4,999.0,84.0,4.63,330.0,75.0,1648662624.0,1648616730.0,1648662590.0,7200.0,Stuttgart
Leipzig,DE,Clouds,few clouds,02n,278.0,275.07,277.04,278.55,1002.0,83.0,3.6,90.0,20.0,1648662625.0,1648615847.0,1648661934.0,7200.0,Leipzig
Dortmund,DE,Clouds,few clouds,02d,281.45,278.56,280.72,283.1,1002.0,63.0,5.14,10.0,20.0,1648662728.0,1648617017.0,1648663125.0,7200.0,Dortmund
Essen,DE,Clouds,overcast clouds,04d,282.4,282.4,280.73,284.47,1002.0,59.0,0.45,270.0,100.0,1648662625.0,1648617128.0,1648663230.0,7200.0,Essen
Bremen,DE,Clouds,few clouds,02d,278.54,276.45,278.04,279.25,1004.0,76.0,2.57,70.0,20.0,1648662625.0,1648616617.0,1648662879.0,7200.0,Bremen
Dresden,DE,Clouds,broken clouds,04n,277.25,274.51,275.91,279.06,994.0,95.0,3.09,40.0,75.0,1648662626.0,1648615535.0,1648661595.0,7200.0,Dresden
Hannover,DE,Clouds,scattered clouds,03n,280.07,277.9,278.7,281.0,1003.0,62.0,3.09,70.0,40.0,1648662626.0,1648616430.0,1648662620.0,7200.0,Hanover
